fish_name,species_name,temp_desc,temperature,date_catched
Bilong-bilong,Mene Maculata,3,25.3,2024-11-12
Matambaka,Rastrelliger faughni,4,28,2024-11-13
Bangus,Chanos Chanos,2,22.1,2024-11-14
Lapu-Lapu,Anyperodon leucogrammicus,3,27.5,2024-11-14
Barilis,Thunnus albacares,3,24.6,2024-11-15
Bilong-bilong,Mene Maculata,3,26,2024-11-16
Matambaka,Rastrelliger faughni,1,19.5,2024-11-17
Bangus,Chanos Chanos,2,23.2,2024-11-18
Lapu-Lapu,Anyperodon leucogrammicus,3,27,2024-11-12
Barilis,Thunnus albacares,3,22.3,2024-11-13
Bilong-bilong,Mene Maculata,3,25.1,2024-11-14
Matambaka,Rastrelliger faughni,4,27.9,2024-11-15
Bangus,Chanos Chanos,2,21.4,2024-11-16
Lapu-Lapu,Anyperodon leucogrammicus,3,28.1,2024-11-17
Barilis,Thunnus albacares,3,25,2024-11-18
Bilong-bilong,Mene Maculata,3,24.3,2024-11-19
Matambaka,Rastrelliger faughni,1,18.4,2024-11-20
Bangus,Chanos Chanos,2,24.5,2024-11-21
Lapu-Lapu,Anyperodon leucogrammicus,3,25.7,2024-11-22
Barilis,Thunnus albacares,3,24.8,2024-11-23
Bilong-bilong,Mene Maculata,3,25.5,2024-11-12
Matambaka,Rastrelliger faughni,4,27.1,2024-11-13
Bangus,Chanos Chanos,2,23.6,2024-11-14
Lapu-Lapu,Anyperodon leucogrammicus,3,26.4,2024-11-14
Barilis,Thunnus albacares,3,24.9,2024-11-15
Bilong-bilong,Mene Maculata,3,24.7,2024-11-16
Matambaka,Rastrelliger faughni,1,19.9,2024-11-17
Bangus,Chanos Chanos,2,21.8,2024-11-18
Lapu-Lapu,Anyperodon leucogrammicus,3,26.1,2024-11-19
Barilis,Thunnus albacares,3,25.3,2024-11-20
Bangus,Chanos Chanos,2,21.6,2024-11-20
Lapu-Lapu,Anyperodon leucogrammicus,3,25.2,2024-11-21
Barilis,Thunnus albacares,3,24.1,2024-11-22
Bilong-bilong,Mene Maculata,3,24.5,2024-11-23
Matambaka,Rastrelliger faughni,4,27.8,2024-11-24
Bangus,Chanos Chanos,2,22.4,2024-11-25
Lapu-Lapu,Anyperodon leucogrammicus,3,26.3,2024-11-26
Barilis,Thunnus albacares,3,23.9,2024-11-27
Bilong-bilong,Mene Maculata,3,26.1,2024-11-28
Matambaka,Rastrelliger faughni,1,18.9,2024-11-29
Bangus,Chanos Chanos,2,21.7,2024-11-30
Lapu-Lapu,Anyperodon leucogrammicus,3,25.8,2024-12-01
Barilis,Thunnus albacares,3,23.5,2024-12-02
Bilong-bilong,Mene Maculata,3,24.8,2024-12-03
Matambaka,Rastrelliger faughni,4,27.5,2024-12-04
Bangus,Chanos Chanos,2,22,2024-12-05
Lapu-Lapu,Anyperodon leucogrammicus,3,26.7,2024-12-06
Barilis,Thunnus albacares,3,24.2,2024-12-07
Bilong-bilong,Mene Maculata,3,25.6,2024-12-08
Matambaka,Rastrelliger faughni,1,19.7,2024-12-09
Bangus,Chanos Chanos,2,21.9,2024-12-10
Lapu-Lapu,Anyperodon leucogrammicus,3,25.9,2024-12-11
Barilis,Thunnus albacares,3,24,2024-12-12
Bilong-bilong,Mene Maculata,3,24.7,2024-12-13
Matambaka,Rastrelliger faughni,4,27.2,2024-12-14
Bangus,Chanos Chanos,2,22.3,2024-12-15
Lapu-Lapu,Anyperodon leucogrammicus,3,26.5,2024-12-16
Barilis,Thunnus albacares,3,23.8,2024-12-17
Bilong-bilong,Mene Maculata,3,25.4,2024-12-18
Matambaka,Rastrelliger faughni,1,19.4,2024-12-19
Bangus,Chanos Chanos,2,22.9,2024-12-20
Lapu-Lapu,Anyperodon leucogrammicus,3,26.8,2024-12-21
Barilis,Thunnus albacares,3,24.4,2024-12-22
Bilong-bilong,Mene Maculata,3,25.7,2024-12-23
Matambaka,Rastrelliger faughni,4,27.4,2024-12-24
Bangus,Chanos Chanos,2,21.5,2024-12-25
Lapu-Lapu,Anyperodon leucogrammicus,3,25.3,2024-12-26
Barilis,Thunnus albacares,3,24,2024-12-27
Bilong-bilong,Mene Maculata,3,25.2,2024-12-28
Matambaka,Rastrelliger faughni,1,18.7,2024-12-29
Bangus,Chanos Chanos,2,23,2024-12-30
Lapu-Lapu,Anyperodon leucogrammicus,3,26,2024-12-31
Barilis,Thunnus albacares,3,23.7,2024-11-12
Bilong-bilong,Mene Maculata,3,24.9,2024-11-13
Matambaka,Rastrelliger faughni,4,27.3,2024-11-14
Bangus,Chanos Chanos,2,22.2,2024-11-14
Lapu-Lapu,Anyperodon leucogrammicus,3,26.2,2024-11-15
Barilis,Thunnus albacares,3,24.5,2024-11-16
Bilong-bilong,Mene Maculata,3,24.4,2024-11-17
Matambaka,Rastrelliger faughni,1,19,2024-11-18
Bangus,Chanos Chanos,2,23.4,2024-11-12
Lapu-Lapu,Anyperodon leucogrammicus,3,25.6,2024-11-13
Barilis,Thunnus albacares,3,24.3,2024-11-14
Bilong-bilong,Mene Maculata,3,24.6,2024-11-15
Matambaka,Rastrelliger faughni,4,27,2024-11-16
Bangus,Chanos Chanos,2,21.8,2024-11-17
Lapu-Lapu,Anyperodon leucogrammicus,3,26.6,2024-11-18
Barilis,Thunnus albacares,3,24.2,2024-11-19
Bilong-bilong,Mene Maculata,3,25.1,2024-11-20
Matambaka,Rastrelliger faughni,1,19.6,2024-11-21
Bangus,Chanos Chanos,2,22.6,2024-11-22
Lapu-Lapu,Anyperodon leucogrammicus,3,26.9,2024-11-23
Barilis,Thunnus albacares,3,24.7,2024-11-12
Bilong-bilong,Mene Maculata,3,25.8,2024-11-13
Matambaka,Rastrelliger faughni,4,27.6,2024-11-14
Bangus,Chanos Chanos,2,21.9,2024-11-14
Lapu-Lapu,Anyperodon leucogrammicus,3,25.4,2024-11-15
Barilis,Thunnus albacares,3,24.3,2024-11-16
Bilong-bilong,Mene Maculata,3,25.3,2024-11-17
Matambaka,Rastrelliger faughni,1,18.8,2024-11-18
Bangus,Chanos Chanos,2,23.1,2024-11-19
Lapu-Lapu,Anyperodon leucogrammicus,3,26.1,2024-11-20
Barilis,Thunnus albacares,3,23.6,2024-11-20
Bilong-bilong,Mene Maculata,3,25,2024-11-21
Matambaka,Rastrelliger faughni,4,27.2,2024-11-22
Bangus,Chanos Chanos,2,22.4,2024-11-23
Lapu-Lapu,Anyperodon leucogrammicus,3,26.2,2024-11-24
Barilis,Thunnus albacares,3,24.5,2024-11-25
Bilong-bilong,Mene Maculata,3,24.4,2024-11-26
Matambaka,Rastrelliger faughni,1,19.3,2024-11-27
Bangus,Chanos Chanos,2,23.3,2024-11-28
Lapu-Lapu,Anyperodon leucogrammicus,3,25.6,2024-11-28
Barilis,Thunnus albacares,3,24.2,2024-11-27
Bilong-bilong,Mene Maculata,3,24.6,2024-11-26
Matambaka,Rastrelliger faughni,4,27,2024-11-25
Bangus,Chanos Chanos,2,21.8,2024-11-24
Lapu-Lapu,Anyperodon leucogrammicus,3,26.6,2024-11-23
Barilis,Thunnus albacares,3,24.1,2024-11-22
Bilong-bilong,Mene Maculata,3,25.1,2024-11-21
Matambaka,Rastrelliger faughni,1,19.1,2024-11-20
Bangus,Chanos Chanos,2,21.5,2024-11-19
Lapu-Lapu,Anyperodon leucogrammicus,3,25.2,2024-11-18
Barilis,Thunnus albacares,3,24.1,2024-11-17
Bilong-bilong,Mene Maculata,3,24.5,2024-11-16
Matambaka,Rastrelliger faughni,4,27.8,2024-11-15
Bangus,Chanos Chanos,2,22.4,2024-11-14
Lapu-Lapu,Anyperodon leucogrammicus,3,26.3,2024-11-13
Barilis,Thunnus albacares,3,23.9,2024-11-12
Bilong-bilong,Mene Maculata,3,26.1,2024-11-12
Matambaka,Rastrelliger faughni,1,18.9,2024-11-13
Bangus,Chanos Chanos,2,21.7,2024-11-14
Lapu-Lapu,Anyperodon leucogrammicus,3,25.8,2024-11-14
Barilis,Thunnus albacares,3,23.5,2024-11-15
Bilong-bilong,Mene Maculata,3,24.8,2024-11-16
Matambaka,Rastrelliger faughni,4,27.5,2024-11-17
Bangus,Chanos Chanos,2,22,2024-11-18
Lapu-Lapu,Anyperodon leucogrammicus,3,26.7,2024-11-19
Barilis,Thunnus albacares,3,24.2,2024-11-20
Bilong-bilong,Mene Maculata,3,25.6,2024-11-21
Matambaka,Rastrelliger faughni,1,19.7,2024-11-22
Bangus,Chanos Chanos,2,21.9,2024-11-23
Lapu-Lapu,Anyperodon leucogrammicus,3,25.9,2024-11-24
Barilis,Thunnus albacares,3,24,2024-11-25
Bilong-bilong,Mene Maculata,3,24.7,2024-11-26
Matambaka,Rastrelliger faughni,4,27.2,2024-11-26
Bangus,Chanos Chanos,2,22.3,2024-11-27
Lapu-Lapu,Anyperodon leucogrammicus,3,26.5,2024-11-27
Barilis,Thunnus albacares,3,23.8,2024-11-27
Bilong-bilong,Mene Maculata,3,25.4,2024-11-28
Matambaka,Rastrelliger faughni,1,19.4,2024-11-28
Danggit,Siganus vermiculatusi,3,25.3,2024-11-01
Tamban,Sardinella lemuru,3,23.5,2024-11-02
Malasugi,Istiophorus platypterus,1,19.8,2024-11-03
Dilis,Stolephorus commersonnii,3,27.1,2024-11-04
Bisugo,Nemipterus bathybius,1,20.4,2024-11-05
Danggit,Siganus vermiculatusi,3,26.4,2024-11-06
Tamban,Sardinella lemuru,3,24.2,2024-11-07
Malasugi,Istiophorus platypterus,1,20.1,2024-11-08
Dilis,Stolephorus commersonnii,3,27.8,2024-11-09
Bisugo,Nemipterus bathybius,1,19.9,2024-11-10
Danggit,Siganus vermiculatusi,3,25.8,2024-11-11
Tamban,Sardinella lemuru,3,22.8,2024-11-12
Malasugi,Istiophorus platypterus,1,19.3,2024-11-13
Dilis,Stolephorus commersonnii,3,26.9,2024-11-14
Bisugo,Nemipterus bathybius,1,21.6,2024-11-15
Danggit,Siganus vermiculatusi,3,25.4,2024-11-16
Tamban,Sardinella lemuru,3,23.7,2024-11-17
Malasugi,Istiophorus platypterus,1,20.7,2024-11-18
Dilis,Stolephorus commersonnii,3,27.3,2024-11-19
Bisugo,Nemipterus bathybius,1,20.2,2024-11-20
Danggit,Siganus vermiculatusi,3,25.9,2024-11-21
Tamban,Sardinella lemuru,3,24.1,2024-11-22
Malasugi,Istiophorus platypterus,1,19.5,2024-11-23
Dilis,Stolephorus commersonnii,3,27.4,2024-11-24
Bisugo,Nemipterus bathybius,1,20.6,2024-11-25
Danggit,Siganus vermiculatusi,3,25.6,2024-11-26
Tamban,Sardinella lemuru,3,23.2,2024-11-27
Malasugi,Istiophorus platypterus,1,18.9,2024-11-28
Dilis,Stolephorus commersonnii,3,26.7,2024-11-28
Bisugo,Nemipterus bathybius,1,21,2024-11-28
Danggit,Siganus vermiculatusi,3,25.3,2024-11-01
Tamban,Sardinella lemuru,3,23.5,2024-11-02
Malasugi,Istiophorus platypterus,1,19.8,2024-11-03
Dilis,Stolephorus commersonnii,3,27.1,2024-11-04
Bisugo,Nemipterus bathybius,1,20.4,2024-11-05
Danggit,Siganus vermiculatusi,3,26.4,2024-11-06
Tamban,Sardinella lemuru,3,24.2,2024-11-07
Malasugi,Istiophorus platypterus,1,20.1,2024-11-08
Dilis,Stolephorus commersonnii,3,27.8,2024-11-09
Bisugo,Nemipterus bathybius,1,19.9,2024-11-10
Danggit,Siganus vermiculatusi,3,25.8,2024-11-11
Tamban,Sardinella lemuru,3,22.8,2024-11-12
Malasugi,Istiophorus platypterus,1,19.3,2024-11-13
Dilis,Stolephorus commersonnii,3,26.9,2024-11-14
Bisugo,Nemipterus bathybius,1,21.6,2024-11-15
Danggit,Siganus vermiculatusi,3,25.4,2024-11-16
Tamban,Sardinella lemuru,3,23.7,2024-11-17
Malasugi,Istiophorus platypterus,1,20.7,2024-11-18
Dilis,Stolephorus commersonnii,3,27.3,2024-11-19
Bisugo,Nemipterus bathybius,1,20.2,2024-11-20
Danggit,Siganus vermiculatusi,3,25.9,2024-11-21
Tamban,Sardinella lemuru,3,24.1,2024-11-22
Malasugi,Istiophorus platypterus,1,19.5,2024-11-23
Dilis,Stolephorus commersonnii,3,27.4,2024-11-24
Bisugo,Nemipterus bathybius,1,20.6,2024-11-25
Danggit,Siganus vermiculatusi,3,25.6,2024-11-26
Tamban,Sardinella lemuru,3,23.2,2024-11-27
Malasugi,Istiophorus platypterus,1,18.9,2024-11-28
Dilis,Stolephorus commersonnii,3,26.7,2024-11-28
Bisugo,Nemipterus bathybius,1,21,2024-11-28
Danggit,Siganus vermiculatusi,3,25.7,2024-11-01
Tamban,Sardinella lemuru,3,23.4,2024-11-02
Malasugi,Istiophorus platypterus,1,20,2024-11-03
Dilis,Stolephorus commersonnii,3,27.6,2024-11-04
Bisugo,Nemipterus bathybius,1,19.7,2024-11-05
Danggit,Siganus vermiculatusi,3,26.3,2024-11-06
Tamban,Sardinella lemuru,3,24.1,2024-11-07
Malasugi,Istiophorus platypterus,1,19.4,2024-11-08
Dilis,Stolephorus commersonnii,3,27.2,2024-11-09
Bisugo,Nemipterus bathybius,1,21.5,2024-11-10
Danggit,Siganus vermiculatusi,3,25.5,2024-11-11
Tamban,Sardinella lemuru,3,23.1,2024-11-12
Malasugi,Istiophorus platypterus,1,19,2024-11-13
Dilis,Stolephorus commersonnii,3,26.8,2024-11-14
Bisugo,Nemipterus bathybius,1,20.3,2024-11-15
Danggit,Siganus vermiculatusi,3,25.2,2024-11-16
Tamban,Sardinella lemuru,3,23.8,2024-11-17
Malasugi,Istiophorus platypterus,1,20.6,2024-11-18
Dilis,Stolephorus commersonnii,3,27.7,2024-11-19
Bisugo,Nemipterus bathybius,1,21.2,2024-11-20
Danggit,Siganus vermiculatusi,3,25.6,2024-11-21
Tamban,Sardinella lemuru,3,24,2024-11-22
Malasugi,Istiophorus platypterus,1,20.5,2024-11-23
Dilis,Stolephorus commersonnii,3,27,2024-11-24
Bisugo,Nemipterus bathybius,1,20.8,2024-11-25
Danggit,Siganus vermiculatusi,3,25.9,2024-11-26
Tamban,Sardinella lemuru,3,22.9,2024-11-27
Malasugi,Istiophorus platypterus,1,18.9,2024-11-28
Dilis,Stolephorus commersonnii,3,26.6,2024-11-28
Bisugo,Nemipterus bathybius,1,20.9,2024-11-28
Danggit,Siganus vermiculatusi,3,26.2,2024-11-01
Tamban,Sardinella lemuru,3,23.9,2024-11-02
Malasugi,Istiophorus platypterus,1,19.5,2024-11-03
Dilis,Stolephorus commersonnii,3,27.5,2024-11-04
Bisugo,Nemipterus bathybius,1,21,2024-11-05
Danggit,Siganus vermiculatusi,3,26.3,2024-11-06
Tamban,Sardinella lemuru,3,23.7,2024-11-07
Malasugi,Istiophorus platypterus,1,19.4,2024-11-08
Dilis,Stolephorus commersonnii,3,27.4,2024-11-09
Bisugo,Nemipterus bathybius,1,21.3,2024-11-10
Danggit,Siganus vermiculatusi,3,26,2024-11-11
Tamban,Sardinella lemuru,3,22.7,2024-11-12
Malasugi,Istiophorus platypterus,1,20,2024-11-13
Dilis,Stolephorus commersonnii,3,26.6,2024-11-14
Bisugo,Nemipterus bathybius,1,20.7,2024-11-15
Danggit,Siganus vermiculatusi,3,25.9,2024-11-16
Tamban,Sardinella lemuru,3,23.1,2024-11-17
Malasugi,Istiophorus platypterus,1,18.9,2024-11-18
Dilis,Stolephorus commersonnii,3,27.8,2024-11-19
Bisugo,Nemipterus bathybius,1,20.8,2024-11-20
Danggit,Siganus vermiculatusi,3,26.1,2024-11-21
Tamban,Sardinella lemuru,3,24,2024-11-22
Malasugi,Istiophorus platypterus,1,20.2,2024-11-23
Dilis,Stolephorus commersonnii,3,26.9,2024-11-24
Bisugo,Nemipterus bathybius,1,20.6,2024-11-25
Danggit,Siganus vermiculatusi,3,25.6,2024-11-26
Tamban,Sardinella lemuru,3,23.2,2024-11-27
Malasugi,Istiophorus platypterus,1,19,2024-11-28
Dilis,Stolephorus commersonnii,3,27,2024-11-28
Bisugo,Nemipterus bathybius,1,21,2024-11-28
Danggit,Siganus vermiculatusi,3,26.2,2024-11-01
Tamban,Sardinella lemuru,3,23.9,2024-11-02
Malasugi,Istiophorus platypterus,1,19.5,2024-11-03
Dilis,Stolephorus commersonnii,3,27.5,2024-11-04
Bisugo,Nemipterus bathybius,1,21,2024-11-05
Danggit,Siganus vermiculatusi,3,26.1,2024-11-06
Tamban,Sardinella lemuru,3,23.4,2024-11-07
Malasugi,Istiophorus platypterus,1,20.3,2024-11-08
Dilis,Stolephorus commersonnii,3,27.2,2024-11-09
Bisugo,Nemipterus bathybius,1,20.7,2024-11-10
Danggit,Siganus vermiculatusi,3,25.8,2024-11-11
Tamban,Sardinella lemuru,3,23.1,2024-11-12
Malasugi,Istiophorus platypterus,1,20,2024-11-13
Dilis,Stolephorus commersonnii,3,27.4,2024-11-14
Bisugo,Nemipterus bathybius,1,21.1,2024-11-15
Danggit,Siganus vermiculatusi,3,25.5,2024-11-16
Tamban,Sardinella lemuru,3,23,2024-11-17
Malasugi,Istiophorus platypterus,1,19.9,2024-11-18
Dilis,Stolephorus commersonnii,3,27.3,2024-11-19
Bisugo,Nemipterus bathybius,1,20.6,2024-11-20
Danggit,Siganus vermiculatusi,3,26,2024-11-21
Tamban,Sardinella lemuru,3,23.6,2024-11-22
Malasugi,Istiophorus platypterus,1,20.2,2024-11-23
Dilis,Stolephorus commersonnii,3,27.1,2024-11-24
Bisugo,Nemipterus bathybius,1,21.2,2024-11-25
Danggit,Siganus vermiculatusi,3,25.6,2024-11-26
Tamban,Sardinella lemuru,3,22.8,2024-11-27
Malasugi,Istiophorus platypterus,1,19.6,2024-11-28
Dilis,Stolephorus commersonnii,3,26.8,2024-11-28
Bisugo,Nemipterus bathybius,1,21,2024-11-28